geom
POINT (-104.9531103 39.718525)
POINT (-105.0340208 39.7623829)
POINT (-104.997857 39.7495421)
POINT (-104.940233 39.7631917)
POINT (-104.996734 39.754589)
POINT (-104.9796193 39.7538955)
POINT (-104.987327 39.72576)
POINT (-104.9410671 39.6738242)
POINT (-104.9959998 39.7512671)
POINT (-104.9961586 39.7481551)
POINT (-104.9447157 39.7177339)
POINT (-104.916663 39.740063)
POINT (-104.9744746 39.7253482)
POINT (-104.951118 39.7197193)
POINT (-104.9434642 39.7180489)
POINT (-104.9988383 39.7538393)
POINT (-104.9772755 39.743175)
POINT (-104.9408714 39.7278998)
POINT (-105.0166215 39.7110252)
POINT (-104.978012 39.754935)
